WellID,AquiferID,Latitude,Longitude,Altitude,Screened,ScreenTopDepth,ScreenBottomDepth,Penetration,Diameter,Diameter_Flag,AquiferName,Confined,TopDepth,TopDepth_Flag,BottomDepth,BottomDepth_Flag,Kh,Kh_Flag,Ss,Ss_Flag,Porosity,Porosity_Flag,TotalInjection,ElapsedTime,InjectionRate,B,T,S,travelDistance,HydraulicGradient,DarcyFlow,maxDistance
W4234931001,A4234931001,32.152235,-96.299384,-999999,True,910,1020,Partial,1.3333333333333333,Default,Nacatoch,True,898,Measured,1117,Measured,4.98,Default,1e-06,Default,0.1,Default,22149.53125026299,1432.0,15.467549755770245,219,1090.62,0.000219,17.95497695581463,0.001,0.004980000000000001,35.182544143863375
W4234931284,A4234931284,32.149881,-96.297844,-999999,True,908,918,Partial,1.3333333333333333,Default,Nacatoch,True,884,Measured,1076,Measured,4.98,Default,1e-06,Default,0.1,Default,113526.87500134789,1339.0,84.78482076276916,192,956.16,0.000192,43.38854292072193,0.001,0.004980000000000001,6.776053773336161
W4234932670,A4234932670,32.136419000000004,-96.351449,-999999,True,826,830,Partial,1.3333333333333333,Default,Nacatoch,True,565,Measured,832,Measured,4.98,Default,1e-06,Default,0.1,Default,25011621.25029685,11293.0,2214.789803444333,267,1329.66,0.000267,546.0603990384822,0.001,0.004980000000000001,3.660554221559331
W4234933424,A4234933424,32.130814,-96.29977,-999999,True,561,575,Partial,1.3333333333333333,Default,Nacatoch,True,544,Measured,769,Measured,4.98,Default,1e-06,Default,0.1,Default,660673.6354245115,2254.0,293.11163949623403,225,1120.5,0.000225,96.68021819584648,0.001,0.004980000000000001,4.3785568654738745
W4234934897,A4234934897,32.130678,-96.331906,-999999,True,800,1200,Partial,1.3333333333333333,Default,Nacatoch,True,616,Measured,887,Measured,4.98,Default,1e-06,Default,0.1,Default,19696817.364817213,3287.0,5992.338717620083,271,1349.5800000000004,0.000271,480.99312409151054,0.001,0.004980000000000001,0.843073060607574
W4234982216,A4234982216,32.12717,-96.31481600000001,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,561,Measured,820,Measured,4.98,Default,1e-06,Default,0.1,Default,53787.70833397201,487.0,110.44703970014784,259,1289.8200000000004,0.000259,25.71950773308927,0.001,0.004980000000000001,3.2192102843958255
W4234933305,A4234933305,32.126152000000005,-96.30973,-999999,True,602,607,Partial,1.3333333333333333,Default,Nacatoch,True,527,Measured,778,Measured,4.98,Default,1e-06,Default,0.1,Default,3082.4062500366,152.0,20.27898848708289,251,1249.98,0.000251,6.2876466341362605,0.001,0.004980000000000001,4.666141126017459
W4234982689,A4234982689,32.125964,-96.368064,-999999,True,516,541,Partial,1.3333333333333333,Default,Nacatoch,True,514,Measured,816,Measured,4.98,Default,1e-06,Default,0.1,Default,4684673.583388957,9710.0,482.45865946333237,302,1503.96,0.000302,222.209805012216,0.001,0.004980000000000001,12.039147768059578
W4234930058,A4234930058,32.123968,-96.313242,-999999,True,0,680,Partial,1.3333333333333333,Default,Nacatoch,True,552,Measured,812,Measured,4.98,Default,1e-06,Default,0.1,Default,118714.75000140961,487.0,243.7674538016624,260,1294.8000000000004,0.00026000000000000003,38.129150347327396,0.001,0.004980000000000001,1.8603463317099211
W4234930783,A4234930783,32.121778000000006,-96.313316,-999999,True,706,725,Partial,1.3333333333333333,Default,Nacatoch,True,573,Measured,833,Measured,4.98,Default,1e-06,Default,0.1,Default,571098.5729234471,3103.0,184.04723587607063,260,1294.8000000000004,0.00026000000000000003,83.61953222402501,0.001,0.004980000000000001,9.147959541641075
W4234930059,A4234930059,32.121769,-96.31258100000001,-999999,True,716,792,Partial,1.3333333333333333,Default,Nacatoch,True,560,Measured,819,Measured,4.98,Default,1e-06,Default,0.1,Default,651864.3541744066,3072.0,212.195427791148,259,1289.8200000000004,0.000259,89.5088233685113,0.001,0.004980000000000001,8.045051241305533
W4234982866,A4234982866,32.121742,-96.314662,-999999,True,702,712,Partial,1.3333333333333333,Default,Nacatoch,True,578,Measured,842,Measured,4.98,Default,1e-06,Default,0.1,Default,116828.2500013872,487.0,239.8937371691729,264,1314.72,0.000264,37.53751705550536,0.001,0.004980000000000001,1.8997523503697362
W4234900410,A4234900410,32.120733,-96.31550899999999,-999999,True,735,734,Partial,1.3333333333333333,Default,Nacatoch,True,588,Measured,853,Measured,4.98,Default,1e-06,Default,0.1,Default,131268.95833489206,456.0,287.8705226642369,265,1319.7,0.000265,39.714065602771946,0.001,0.004980000000000001,1.6156088279491563
